epoch,train_loss,train_acc,val_loss,val_acc
1,1.750421,0.240506,1.534158,0.301843
2,1.589421,0.337745,1.496376,0.301843
3,1.586626,0.372842,1.505607,0.320276
4,1.592443,0.389528,1.494381,0.500000
5,1.488653,0.470656,1.391201,0.327189
6,1.516407,0.487917,1.373428,0.495392
7,1.463945,0.463176,1.341997,0.495392
8,1.426414,0.491945,1.305539,0.495392
9,1.417553,0.488493,1.260541,0.495392
10,1.339375,0.464327,1.215761,0.495392
11,1.334900,0.495397,1.199761,0.511521
12,1.298797,0.485616,1.208051,0.486175
13,1.333460,0.485040,1.253613,0.463134
14,1.351930,0.494246,1.209997,0.474654
15,1.332910,0.492520,1.222766,0.472350
16,1.313579,0.483890,1.216213,0.488479
17,1.335048,0.490219,1.187516,0.460829
18,1.284971,0.479862,1.185564,0.486175
19,1.312425,0.472957,1.207664,0.490783
20,1.334068,0.475259,1.230976,0.490783
